ts,load1,memfree_kb,containers,engine_cpu_pct,gpu_busy_pct,gpu_power_w
2026-08-20T16:26:50,7.90,10595212,7,229.32,100,745
2026-08-20T16:27:01,7.22,10271312,6,237.83,100,742
2026-08-20T16:27:12,7.19,9981240,6,250.72,99,735
2026-08-20T16:27:23,7.00,10133740,6,286.18,99,719
2026-08-20T16:27:34,7.50,10139508,6,259.17,99,739
2026-08-20T16:27:45,6.65,10083336,6,204.47,100,741
2026-08-20T16:27:56,6.24,10529444,6,208.28,100,743
2026-08-20T16:28:07,5.59,10860612,6,214.60,100,699
2026-08-20T16:28:18,5.03,10793320,6,213.80,98,731
2026-08-20T16:28:29,4.51,10920544,6,288.06,99,738
2026-08-20T16:28:40,4.65,10919828,6,237.54,99,731
2026-08-20T16:28:51,4.24,11065172,6,206.23,95,710
2026-08-20T16:29:02,3.89,10794936,6,218.63,100,733
2026-08-20T16:29:13,3.62,10996216,6,220.73,88,669
2026-08-20T16:29:25,3.67,10757348,6,242.58,99,728
2026-08-20T16:29:36,3.63,10982960,6,223.15,92,687
2026-08-20T16:29:47,3.70,10722544,6,206.09,100,690
2026-08-20T16:29:58,5.03,10862440,6,285.23,100,749
2026-08-20T16:30:09,6.68,10634840,6,213.16,100,743
2026-08-20T16:30:20,6.18,9726580,6,234.71,100,742
2026-08-20T16:30:31,7.38,9693372,6,207.36,100,747
2026-08-20T16:30:42,7.22,9358960,6,217.32,91,684
2026-08-20T16:30:53,7.43,8426100,6,222.45,100,750
2026-08-20T16:31:04,6.83,7459644,6,227.95,100,723
2026-08-20T16:31:15,6.48,8596812,6,220.82,100,751
2026-08-20T16:31:26,5.94,7752096,6,215.07,100,746
2026-08-20T16:31:37,5.49,7134704,6,217.86,93,692
2026-08-20T16:31:48,5.17,8504104,6,205.50,96,692
2026-08-20T16:31:59,5.24,8031980,6,209.36,98,709
2026-08-20T16:32:10,4.90,6642224,6,218.07,100,749
2026-08-20T16:32:21,5.39,7435444,6,237.01,100,745
2026-08-20T16:32:33,5.68,8306608,6,305.41,94,682
2026-08-20T16:32:44,6.78,7551264,6,219.93,96,697
2026-08-20T16:32:55,7.28,7758208,6,272.92,100,739
2026-08-20T16:33:06,7.58,7965744,6,249.07,80,618
2026-08-20T16:33:17,6.80,7986016,6,197.08,95,716
2026-08-20T16:33:28,6.13,7722820,6,205.24,97,715
2026-08-20T16:33:39,5.95,7713180,6,221.11,98,714
2026-08-20T16:33:50,5.49,7546556,7,205.46,96,701
2026-08-20T16:34:01,6.55,7504636,7,205.28,100,740
2026-08-20T16:34:12,10.60,6720964,10,227.33,96,708
2026-08-20T16:34:23,9.66,7099256,10,198.66,99,723
2026-08-20T16:34:34,10.44,7498900,10,208.57,100,734
2026-08-20T16:34:45,11.06,7191344,10,207.37,100,731
2026-08-20T16:34:56,11.19,7546592,10,181.83,97,728
2026-08-20T16:35:07,11.28,6854076,10,214.50,100,734
2026-08-20T16:35:18,9.81,13193220,10,217.89,97,698
2026-08-20T16:35:30,8.99,13034664,10,215.46,89,659
2026-08-20T16:35:41,9.79,12249208,10,213.45,99,715
2026-08-20T16:35:52,8.98,13622776,10,232.36,100,735
2026-08-20T16:36:03,8.13,13870332,10,235.18,99,739
2026-08-20T16:36:14,7.50,13360708,10,202.77,99,735
2026-08-20T16:36:25,6.80,13404680,10,199.06,100,743
2026-08-20T16:36:36,6.86,13165428,10,204.70,100,722
2026-08-20T16:36:47,6.42,12747988,10,205.29,100,738
2026-08-20T16:36:58,6.85,12745980,10,203.50,97,732
2026-08-20T16:37:09,7.06,13679152,7,233.57,98,731
2026-08-20T16:37:20,6.99,12777404,7,211.90,99,724
2026-08-20T16:37:31,7.98,13534916,7,201.95,94,698
2026-08-20T16:37:42,8.81,12843956,7,202.31,100,737
2026-08-20T16:37:53,10.13,12409172,7,213.88,100,746
2026-08-20T16:38:05,10.31,11879636,7,227.02,100,748
2026-08-20T16:38:16,9.87,12730508,7,196.84,100,746
2026-08-20T16:38:27,9.72,12542304,7,224.98,100,742
2026-08-20T16:38:38,10.90,12237816,7,206.88,89,671
2026-08-20T16:38:49,10.82,12065624,7,226.72,88,659
2026-08-20T16:39:00,10.63,11190488,7,199.92,96,713
2026-08-20T16:39:11,10.23,10309904,7,234.88,99,710
2026-08-20T16:39:22,12.43,10329768,7,231.46,83,641
2026-08-20T16:39:33,13.81,10757836,7,223.16,100,747
2026-08-20T16:39:44,13.15,11248736,7,204.05,100,744
2026-08-20T16:39:55,15.30,11361408,7,203.90,100,746
2026-08-20T16:40:06,16.65,11740728,10,218.51,100,742
2026-08-20T16:40:17,15.88,11488632,10,226.91,88,653
2026-08-20T16:40:28,14.49,11573460,10,221.20,98,700
2026-08-20T16:40:39,12.37,12112160,10,216.02,97,720
2026-08-20T16:40:50,11.55,12011072,10,233.11,100,738
2026-08-20T16:41:02,12.53,11061092,10,206.05,98,697
2026-08-20T16:41:13,12.63,11297296,10,301.41,100,737
2026-08-20T16:41:24,12.79,10944664,10,269.70,100,740
2026-08-20T16:41:35,12.54,11200876,10,221.00,98,710
2026-08-20T16:41:46,12.29,11664984,6,229.08,100,738
2026-08-20T16:41:57,12.11,11506444,6,282.33,97,727
2026-08-20T16:42:08,10.63,11136300,7,217.07,100,746
2026-08-20T16:42:19,9.10,11688868,7,266.21,100,744
2026-08-20T16:42:30,8.16,11638300,7,286.96,100,741
2026-08-20T16:42:41,8.15,11220224,7,197.37,91,684
2026-08-20T16:42:52,7.37,10648860,7,220.83,92,666
2026-08-20T16:43:03,6.99,10408688,7,201.11,30,363
2026-08-20T16:43:14,9.11,10289088,7,217.50,100,745
2026-08-20T16:43:25,8.97,10008232,7,266.44,100,738
2026-08-20T16:43:36,8.65,10048116,7,229.89,100,727
2026-08-20T16:43:47,8.31,10293556,7,234.95,100,741
2026-08-20T16:43:59,7.85,10935212,6,225.64,100,741
2026-08-20T16:44:10,7.03,11086520,6,228.42,100,747
2026-08-20T16:44:21,6.33,11662752,6,202.51,100,731
2026-08-20T16:44:32,7.50,8216288,6,204.62,73,576
2026-08-20T16:44:43,7.42,11296456,6,204.82,100,747
2026-08-20T16:44:54,7.53,9067776,6,301.54,100,748
2026-08-20T16:45:05,8.23,12181408,6,298.31,100,737
2026-08-20T16:45:16,11.16,8354544,6,171.10,100,745
2026-08-20T16:45:27,10.68,6827116,6,212.25,100,720
2026-08-20T16:45:38,10.64,9210412,6,232.47,100,749
2026-08-20T16:45:49,12.65,7903212,6,223.79,100,743
2026-08-20T16:46:00,14.17,6452764,6,199.33,100,742
2026-08-20T16:46:11,17.23,12779628,6,194.98,100,732
2026-08-20T16:46:22,18.62,29882080,10,206.64,100,745
2026-08-20T16:46:33,17.29,29166204,10,222.26,94,683
2026-08-20T16:46:44,17.07,29178060,10,194.08,100,732
2026-08-20T16:46:56,16.71,29185836,10,201.65,99,728
2026-08-20T16:47:07,14.59,29259592,10,220.08,100,732
2026-08-20T16:47:18,12.89,29612152,10,208.86,100,745
2026-08-20T16:47:29,11.60,29488676,10,224.80,100,713
2026-08-20T16:47:40,11.54,29629212,10,233.99,97,709
2026-08-20T16:47:51,10.00,29943268,10,293.99,73,604
2026-08-20T16:48:02,9.20,29225996,10,205.39,100,738
2026-08-20T16:48:13,9.74,29719076,10,222.18,100,746
2026-08-20T16:48:24,8.54,29478708,10,221.87,100,737
2026-08-20T16:48:35,10.09,27310444,10,206.73,100,745
2026-08-20T16:48:46,11.14,29048928,10,229.41,92,693
2026-08-20T16:48:57,10.04,29214552,10,223.11,100,729
2026-08-20T16:49:08,8.88,28493396,10,197.75,100,728
2026-08-20T16:49:19,9.87,28141852,10,207.61,100,739
2026-08-20T16:49:31,9.27,27660832,10,307.75,100,736
2026-08-20T16:49:42,10.71,27784712,10,259.59,100,745
2026-08-20T16:49:53,11.97,28953700,10,213.74,100,723
2026-08-20T16:50:04,9.97,29063740,10,202.15,96,720
2026-08-20T16:50:15,8.83,29150160,10,209.55,100,729
2026-08-20T16:50:26,8.00,28614572,10,210.10,100,734
2026-08-20T16:50:37,7.15,28605372,10,213.88,100,742
2026-08-20T16:50:48,6.75,27820464,10,244.42,100,738
2026-08-20T16:50:59,6.70,28392952,10,212.31,98,691
2026-08-20T16:51:10,8.11,28673584,10,220.33,100,745
2026-08-20T16:51:21,9.28,28229724,10,211.95,100,745
2026-08-20T16:51:32,9.96,28974760,10,214.85,90,680
2026-08-20T16:51:43,8.89,29102340,10,242.85,91,647
2026-08-20T16:51:54,7.75,28536592,10,205.02,100,745
2026-08-20T16:52:06,7.79,27839384,9,167.69,99,727
2026-08-20T16:52:17,8.08,27126600,9,209.44,92,672
2026-08-20T16:52:28,7.92,28229420,9,233.99,100,744
2026-08-20T16:52:39,7.38,29154016,9,258.85,100,724
2026-08-20T16:52:50,8.61,28518532,9,184.45,100,734
2026-08-20T16:53:01,8.59,28299132,9,196.17,45,449
2026-08-20T16:53:12,7.81,28751580,9,261.90,100,744
2026-08-20T16:53:23,6.99,28757612,9,199.61,98,716
2026-08-20T16:53:34,6.04,28743052,9,232.80,65,551
2026-08-20T16:53:45,5.50,28621416,9,299.21,100,745
2026-08-20T16:53:56,5.12,28761128,9,205.10,100,742
2026-08-20T16:54:07,4.78,29180516,9,193.65,100,742
2026-08-20T16:54:18,5.09,29144416,9,236.48,92,680
2026-08-20T16:54:29,4.54,29014748,9,200.44,99,737
2026-08-20T16:54:40,4.15,29122328,9,262.40,96,718
2026-08-20T16:54:52,3.97,29153788,9,315.23,91,679
2026-08-20T16:55:03,4.39,29076212,9,194.73,99,720
2026-08-20T16:55:14,4.01,29329208,9,227.67,100,744
2026-08-20T16:55:25,4.23,29212148,9,222.66,100,736
2026-08-20T16:55:36,4.83,27971432,10,218.62,100,736
2026-08-20T16:55:47,4.39,28009124,10,218.18,100,740
2026-08-20T16:55:58,5.14,27431124,10,178.22,93,701
2026-08-20T16:56:09,4.53,27299596,10,184.90,96,708
2026-08-20T16:56:20,4.57,27087548,10,212.45,100,739
2026-08-20T16:56:31,4.33,27487452,10,232.17,100,708
2026-08-20T16:56:42,4.27,27258444,10,255.84,100,730
2026-08-20T16:56:53,4.44,27177540,10,295.57,100,724
2026-08-20T16:57:04,4.54,27261064,10,194.79,100,690
2026-08-20T16:57:15,4.52,26880744,10,231.19,100,740
2026-08-20T16:57:26,4.38,26962412,10,315.76,98,718
2026-08-20T16:57:38,4.23,26973352,10,285.56,100,689
2026-08-20T16:57:49,4.12,26124200,10,275.15,100,742
2026-08-20T16:58:00,4.98,26866352,10,285.31,95,689
2026-08-20T16:58:11,5.03,27344148,10,224.03,99,743
2026-08-20T16:58:22,6.42,26943936,10,253.02,98,722
2026-08-20T16:58:33,6.37,27139452,10,202.58,100,737
2026-08-20T16:58:44,5.71,26566448,10,179.95,96,724
2026-08-20T16:58:55,5.97,26146768,10,201.03,84,654
2026-08-20T16:59:06,5.82,26256368,10,201.99,95,709
2026-08-20T16:59:17,5.46,25982728,10,255.78,100,709
2026-08-20T16:59:28,5.23,26737976,10,214.24,99,724
2026-08-20T16:59:39,4.58,26597740,10,242.22,100,740
2026-08-20T16:59:50,4.48,26798616,10,291.30,100,746
2026-08-20T17:00:01,4.34,26560588,10,295.89,99,742
2026-08-20T17:00:13,6.62,26357268,10,284.77,98,711
2026-08-20T17:00:24,7.33,26053884,10,229.07,99,732
2026-08-20T17:00:35,7.38,25872956,10,264.20,99,711
2026-08-20T17:00:46,7.74,25902520,10,237.51,99,739
2026-08-20T17:00:57,7.46,26264476,10,240.40,100,733
2026-08-20T17:01:08,6.84,26819888,10,223.33,100,743
2026-08-20T17:01:19,6.07,26647500,10,183.46,100,737
2026-08-20T17:01:30,5.51,26767996,10,199.81,98,728
2026-08-20T17:01:41,5.13,26830576,10,225.01,100,731
2026-08-20T17:01:52,4.64,26813008,10,215.99,95,713
2026-08-20T17:02:03,4.78,26599852,10,207.21,100,740
2026-08-20T17:02:14,6.96,26352900,10,203.75,100,739
2026-08-20T17:02:25,6.66,25936688,10,267.68,98,730
2026-08-20T17:02:36,8.76,26896060,6,223.17,99,737
2026-08-20T17:02:47,8.12,27219768,6,274.98,100,741
2026-08-20T17:02:59,7.18,26823548,6,261.18,100,737
2026-08-20T17:03:10,6.10,26611800,6,202.46,74,596
2026-08-20T17:03:21,7.22,26373648,6,202.82,100,743
2026-08-20T17:03:32,10.06,26253824,6,207.12,100,718
2026-08-20T17:03:43,8.97,25947400,6,209.24,100,738
2026-08-20T17:03:54,8.89,25800424,6,209.31,100,739
2026-08-20T17:04:05,8.63,25783056,6,210.45,100,747
2026-08-20T17:04:16,8.17,26108344,6,238.47,99,736
2026-08-20T17:04:27,7.29,26286940,6,186.24,44,440
2026-08-20T17:04:38,6.56,26445096,6,247.30,100,735
2026-08-20T17:04:49,6.32,25904268,6,224.82,99,728
2026-08-20T17:05:00,5.88,24882188,6,265.23,100,728
2026-08-20T17:05:11,6.32,24336836,6,250.20,98,691
2026-08-20T17:05:22,7.37,25167900,6,232.79,100,736
2026-08-20T17:05:33,6.61,25769364,6,277.60,96,703
2026-08-20T17:05:44,6.05,25325112,6,204.44,99,709
2026-08-20T17:05:55,5.42,25350268,6,225.32,100,733
2026-08-20T17:06:07,4.90,25308036,6,204.59,100,735
2026-08-20T17:06:18,4.53,25441476,6,210.98,90,669
2026-08-20T17:06:29,4.22,25260772,6,218.64,97,714
2026-08-20T17:06:40,3.88,25299272,6,302.20,100,716
2026-08-20T17:06:51,3.58,25353032,6,276.55,100,715
2026-08-20T17:07:02,3.49,24965932,6,176.09,99,720
2026-08-20T17:07:13,3.64,25175428,6,198.57,100,727
2026-08-20T17:07:24,3.42,25305976,6,267.91,83,618
2026-08-20T17:07:35,3.35,25039708,6,214.43,99,709
2026-08-20T17:07:46,3.44,24924076,6,222.67,100,724
2026-08-20T17:07:57,4.47,22680104,6,272.88,100,734
2026-08-20T17:08:08,4.16,22430344,6,298.11,100,721
2026-08-20T17:08:19,4.28,23568148,6,216.22,97,700
2026-08-20T17:08:30,4.33,23388144,6,225.13,94,704
2026-08-20T17:08:41,4.12,22963136,6,215.13,100,722
2026-08-20T17:08:52,3.87,23030060,6,227.62,100,742
2026-08-20T17:09:03,3.67,23287928,6,246.92,100,716
2026-08-20T17:09:15,3.77,23551636,6,196.79,98,717
2026-08-20T17:09:26,3.41,23625680,6,198.33,100,719
2026-08-20T17:09:37,3.76,23821748,6,217.30,16,280
2026-08-20T17:09:48,3.73,23246420,6,210.39,94,684
2026-08-20T17:09:59,3.62,22846948,6,215.12,100,726
2026-08-20T17:10:10,4.01,23484604,6,200.12,100,727
2026-08-20T17:10:21,3.94,22665340,6,201.00,99,713
2026-08-20T17:10:32,4.11,23234260,6,217.31,97,713
2026-08-20T17:10:43,3.86,23547272,6,212.16,99,700
2026-08-20T17:10:54,3.52,23567320,6,222.92,100,711
2026-08-20T17:11:05,3.52,22899672,6,232.42,100,716
2026-08-20T17:11:16,4.15,22198828,6,186.25,98,712
2026-08-20T17:11:27,6.40,22764060,6,208.11,100,734
2026-08-20T17:11:38,5.96,21859200,6,205.15,93,683
2026-08-20T17:11:49,5.98,22175308,6,230.69,100,727
2026-08-20T17:12:00,8.28,22022124,6,248.02,100,706
2026-08-20T17:12:11,7.55,22210504,6,175.50,80,602
2026-08-20T17:12:23,6.93,22548044,6,252.02,100,726
2026-08-20T17:12:34,6.33,22332852,6,263.27,100,717
2026-08-20T17:12:45,5.61,22323640,6,234.40,90,666
2026-08-20T17:12:56,6.61,22368464,6,196.49,83,646
2026-08-20T17:13:07,6.30,21810504,6,215.24,95,670
2026-08-20T17:13:18,6.16,21456508,6,224.76,95,693
2026-08-20T17:13:29,6.29,20516304,6,241.29,100,730
2026-08-20T17:13:40,6.30,20833848,6,253.85,98,681
2026-08-20T17:13:51,5.94,20554652,6,201.96,99,698
2026-08-20T17:14:02,6.35,20439988,6,211.40,100,727
2026-08-20T17:14:13,5.84,19788040,6,194.38,100,735
2026-08-20T17:14:24,5.37,20049136,6,197.66,100,721
2026-08-20T17:14:35,5.38,20113404,6,277.93,100,705
2026-08-20T17:14:46,4.87,21576580,6,269.34,100,729
2026-08-20T17:14:57,5.09,21579884,6,196.35,100,712
2026-08-20T17:15:08,5.61,20955276,6,245.66,100,713
2026-08-20T17:15:19,4.95,20850408,6,208.43,97,701
2026-08-20T17:15:31,4.56,20313808,6,280.18,100,711
2026-08-20T17:15:42,4.31,20740472,6,237.19,99,728
2026-08-20T17:15:53,4.19,20580220,6,269.04,100,706
2026-08-20T17:16:04,5.41,20369664,6,230.12,100,723
2026-08-20T17:16:15,5.42,20035900,6,217.87,100,724
2026-08-20T17:16:26,6.25,20489072,6,218.85,100,705
2026-08-20T17:16:37,6.12,20044304,6,164.75,96,701
2026-08-20T17:16:48,5.71,20497368,6,203.30,90,669
2026-08-20T17:16:59,5.04,20818724,6,204.20,100,708
2026-08-20T17:17:10,5.46,20909112,6,205.37,99,722
2026-08-20T17:17:21,5.09,21099220,6,275.63,100,729
2026-08-20T17:17:32,4.78,21197088,6,294.59,100,724
2026-08-20T17:17:43,5.08,21066228,6,244.58,96,697
2026-08-20T17:17:54,5.33,20660468,6,268.74,100,719
2026-08-20T17:18:05,6.41,20535612,6,261.15,100,724
2026-08-20T17:18:16,6.03,20963568,6,235.05,100,721
2026-08-20T17:18:27,5.65,20428788,6,223.70,90,689
2026-08-20T17:18:38,5.41,19902536,6,195.06,92,700
2026-08-20T17:18:50,5.90,20489744,6,190.47,100,747
2026-08-20T17:19:01,7.17,19995036,6,206.35,99,718
2026-08-20T17:19:12,6.61,19526960,6,229.52,84,642
2026-08-20T17:19:23,7.54,19592508,6,222.53,100,720
2026-08-20T17:19:34,7.16,20126248,6,220.11,91,677
2026-08-20T17:19:45,6.65,19985212,6,277.17,100,709
2026-08-20T17:19:56,6.31,19642604,6,232.31,100,728
2026-08-20T17:20:07,6.59,18251620,6,220.36,99,720
2026-08-20T17:20:18,7.83,18918440,6,236.05,100,739
2026-08-20T17:20:29,7.35,19469672,6,154.19,58,493
2026-08-20T17:20:40,7.64,19088972,6,230.62,100,711
2026-08-20T17:20:51,9.07,18764988,6,200.46,95,645
2026-08-20T17:21:02,9.77,17921752,6,179.96,82,644
2026-08-20T17:21:13,12.04,17842240,6,213.52,73,589
2026-08-20T17:21:24,12.05,18077732,6,220.77,66,541
2026-08-20T17:21:35,11.91,18501656,6,165.68,97,703
2026-08-20T17:21:46,11.74,17948912,6,213.68,100,704
2026-08-20T17:21:58,11.25,17087808,6,213.76,100,709
2026-08-20T17:22:09,10.73,17844364,6,199.80,100,709
2026-08-20T17:22:20,10.67,18833844,6,195.32,100,721
2026-08-20T17:22:31,11.80,18335516,6,214.67,13,257
2026-08-20T17:22:42,13.56,16859504,7,171.10,43,395
2026-08-20T17:22:53,14.33,17492500,7,197.42,67,547
2026-08-20T17:23:04,13.25,17233364,7,213.47,45,402
2026-08-20T17:23:15,11.92,17450328,7,220.08,90,668
2026-08-20T17:23:26,12.57,18128868,7,190.65,22,321
2026-08-20T17:23:37,10.86,17958908,9,252.31,100,721
2026-08-20T17:23:48,9.90,17836396,9,183.33,73,556
2026-08-20T17:23:59,8.51,17699412,9,215.06,97,716
2026-08-20T17:24:10,7.59,18060744,9,222.81,99,720
2026-08-20T17:24:21,6.80,17623340,9,205.13,100,693
2026-08-20T17:24:32,6.22,16393640,9,187.04,96,706
2026-08-20T17:24:43,6.24,17167620,9,174.10,95,672
2026-08-20T17:24:54,5.30,17325880,9,229.33,99,681
2026-08-20T17:25:06,4.87,16155992,9,195.19,99,696
2026-08-20T17:25:17,4.65,15195408,9,254.88,100,711
2026-08-20T17:25:28,4.32,15587920,9,188.22,82,628
2026-08-20T17:25:39,5.77,15127500,9,219.92,100,710
2026-08-20T17:25:50,5.22,14297556,9,206.92,100,719
2026-08-20T17:26:01,5.18,14756164,9,218.24,84,642
2026-08-20T17:26:12,5.65,14328672,9,160.15,95,701
2026-08-20T17:26:23,6.57,13838664,9,208.44,100,715
2026-08-20T17:26:34,8.03,14391928,9,224.01,86,659
2026-08-20T17:26:45,7.33,14057812,9,151.91,47,435
2026-08-20T17:26:56,6.84,15038976,9,203.32,79,591
2026-08-20T17:27:07,6.40,15271260,9,255.60,87,654
2026-08-20T17:27:18,5.96,14989024,9,230.97,99,715
2026-08-20T17:27:29,5.17,15246384,9,266.85,90,671
2026-08-20T17:27:40,5.19,15101056,9,236.03,100,707
2026-08-20T17:27:52,4.93,14590312,9,240.89,100,693
2026-08-20T17:28:03,4.47,14373836,9,293.33,100,708
2026-08-20T17:28:14,4.02,14693212,9,276.07,100,713
